rms_norm,crest_factor,kurtosis,temperature_delta,label
2.8324,3.0000,5.0740,15.41,Degraded
0.9521,3.1470,2.9107,3.31,Healthy
1.4095,4.9044,4.5442,13.92,Degraded
0.9196,2.6111,2.7731,1.04,Healthy
0.8491,3.2864,2.9811,1.55,Healthy
1.0252,3.0654,3.4508,0.00,Healthy
5.1823,8.2822,12.2682,40.00,Danger
0.7472,2.9860,3.4138,0.00,Healthy
0.9986,2.8531,3.7215,0.00,Healthy
3.0000,5.1704,11.4001,39.24,Danger
2.9192,4.8519,6.6015,15.79,Degraded
1.0679,3.0182,3.1599,2.39,Healthy
1.2163,2.7237,2.9296,2.92,Healthy
2.3779,4.4129,5.8375,15.23,Degraded
1.1136,3.0152,2.8664,0.00,Healthy
1.0338,2.5504,2.3605,1.31,Healthy
2.2294,4.1764,6.2531,16.13,Degraded
4.9314,5.0000,12.7977,31.46,Danger
3.6255,5.2252,8.6597,18.61,Degraded
1.1619,3.2585,2.9421,0.75,Healthy
1.0181,3.0142,2.9099,2.00,Healthy
3.0873,5.6094,12.2051,31.67,Danger
2.4800,5.3023,6.0670,11.75,Degraded
1.2474,2.7281,3.3089,0.00,Healthy
3.7121,8.2839,16.1203,40.15,Danger
2.8601,3.9905,5.4957,15.04,Degraded
0.8030,2.8634,3.4425,1.25,Healthy
0.9501,2.6753,3.4785,0.99,Healthy
4.3526,8.9872,11.5934,24.81,Danger
1.0643,2.9005,3.0182,0.00,Healthy
0.9418,2.6954,3.7943,0.00,Healthy
4.8522,7.9614,12.3701,49.75,Danger
0.9711,2.8785,3.3716,0.31,Healthy
1.1600,3.2580,3.4757,5.27,Healthy
2.2743,4.1343,5.5353,16.63,Degraded
4.2701,8.2576,11.1965,19.03,Danger
1.1271,2.7050,3.0649,2.24,Healthy
1.1242,2.7292,2.4487,1.81,Healthy
1.0506,2.9413,3.2593,2.06,Healthy
2.5894,3.6406,5.6689,12.43,Degraded
0.7763,3.0604,2.4419,0.17,Healthy
2.8416,3.5487,6.6300,12.91,Degraded
2.6474,4.4513,5.9553,10.49,Degraded
0.8428,2.9410,2.9200,2.99,Healthy
2.1703,4.5603,5.7737,4.02,Degraded
0.8122,3.0151,3.1211,3.42,Healthy
1.1813,2.9628,3.2833,3.28,Healthy
5.5860,6.4281,14.7587,27.49,Danger
2.2287,4.5910,4.8790,9.82,Degraded
0.8754,2.8447,3.0838,3.39,Healthy
0.8016,3.1906,2.0000,4.64,Healthy
0.8650,3.2895,3.2693,2.86,Healthy
0.9603,3.1383,3.5110,1.45,Healthy
1.0346,2.8688,3.2675,4.84,Healthy
2.0809,5.1068,3.5319,17.17,Degraded
2.7252,4.2022,5.4376,16.55,Degraded
0.9824,3.1693,3.2848,4.22,Healthy
0.8112,2.8445,2.8103,2.56,Healthy
0.9191,2.7167,2.9258,5.52,Healthy
2.2096,4.9808,3.5000,15.85,Degraded
3.7224,8.6553,10.0131,27.42,Danger
2.6126,5.3487,3.5629,9.07,Degraded
1.0567,3.0322,2.9637,2.64,Healthy
1.1621,2.5344,3.0759,2.48,Healthy
1.0388,2.6105,3.3152,1.65,Healthy
1.2293,2.9764,3.4775,2.29,Healthy
1.1875,3.1746,2.8291,0.00,Healthy
0.8836,3.4563,3.3337,0.00,Healthy
3.2373,4.1921,7.8080,8.22,Degraded
0.8591,3.0275,2.8728,2.13,Healthy
2.3413,4.4280,6.0720,11.18,Degraded
0.8131,3.3501,2.7062,1.38,Healthy
0.7594,2.6711,2.8448,0.96,Healthy
2.5648,5.1602,3.8381,14.60,Degraded
2.4105,5.1898,4.7206,11.76,Degraded
0.9641,2.8940,2.3782,1.01,Healthy
2.1584,4.2611,4.6704,17.37,Degraded
1.1818,3.1143,3.3320,0.78,Healthy
1.8469,4.2332,6.2902,14.55,Degraded
5.6832,7.6235,14.1649,31.87,Danger
4.1247,7.8355,10.0171,25.09,Danger
5.9650,5.0000,10.3604,24.90,Danger
1.0112,2.9476,2.8059,1.64,Healthy
0.9776,2.8339,2.8121,2.96,Healthy
0.8492,2.6201,3.4372,4.48,Healthy
0.9145,3.2868,3.0454,1.90,Healthy
1.1070,2.9124,2.8962,2.65,Healthy
1.0383,2.7796,2.2417,0.00,Healthy
2.6212,4.8939,5.1912,7.62,Degraded
3.5237,4.5546,4.9008,11.93,Degraded
1.1238,2.8848,3.1861,2.95,Healthy
4.8626,5.0000,8.5334,28.33,Danger
0.9880,2.5889,3.0093,3.66,Healthy
1.9885,4.7399,5.5922,11.91,Degraded
0.7000,2.7892,2.4240,2.03,Healthy
2.0754,4.0129,5.1629,12.36,Degraded
1.0866,3.2910,2.7266,2.36,Healthy
2.6957,4.0294,8.1497,9.94,Degraded
1.0682,2.7697,3.0041,1.32,Healthy
1.0779,3.1251,2.7763,0.38,Healthy
1.1138,3.1026,3.0542,2.99,Healthy
2.6618,4.1346,5.4584,10.73,Degraded
2.7831,4.3836,5.3539,19.57,Degraded
1.0157,2.6899,2.6822,4.31,Healthy
2.1699,4.9832,5.5695,16.92,Degraded
2.0411,4.2381,6.8833,13.00,Degraded
1.0841,3.1356,2.8789,0.00,Healthy
2.3194,5.0515,6.4365,7.53,Degraded
0.9201,2.8362,2.6609,1.67,Healthy
1.0099,3.1394,2.6624,1.70,Healthy
2.4110,4.3803,5.1252,7.37,Degraded
1.1325,2.7822,3.2162,0.24,Healthy
0.8326,3.0478,3.3407,2.44,Healthy
0.9750,2.9928,2.8933,1.20,Healthy
0.9897,3.3448,2.7925,2.46,Healthy
4.7732,9.0420,9.8443,29.12,Danger
2.3498,4.3703,5.4574,18.68,Degraded
2.1767,5.0453,3.5000,14.18,Degraded
0.7864,2.8013,2.3407,3.61,Healthy
2.4334,5.1941,5.9756,6.56,Degraded
1.1881,3.1544,3.0170,3.64,Healthy
3.3152,9.8500,8.1741,34.21,Danger
1.2126,3.1172,2.3150,1.77,Healthy
0.7837,2.2990,3.2433,2.11,Healthy
0.9426,3.2021,3.8467,0.01,Healthy
5.3536,5.9449,9.6071,42.06,Danger
2.5916,3.6420,5.1474,11.97,Degraded
0.7145,3.0067,3.5868,0.00,Healthy
1.1057,2.6228,3.3659,0.00,Healthy
0.8073,3.2672,3.2803,1.00,Healthy
0.9714,2.6236,3.4520,2.03,Healthy
3.2357,8.1467,7.0000,29.61,Danger
3.1427,4.3014,8.4237,14.41,Degraded
1.0640,2.3326,3.4681,2.38,Healthy
5.6902,6.1685,7.4411,35.82,Danger
1.8911,4.6881,4.9179,10.09,Degraded
2.2467,4.3389,6.5109,6.43,Degraded
1.0639,3.6344,2.9424,0.00,Healthy
1.0504,2.7072,3.1889,1.25,Healthy
0.9179,2.6263,2.9805,1.39,Healthy
0.9484,3.4588,3.6432,2.38,Healthy
0.9641,3.2392,2.8001,1.26,Healthy
0.9492,2.8086,2.5534,1.71,Healthy
2.2183,3.5913,4.0488,10.53,Degraded
5.3513,5.4737,14.0987,34.97,Danger
0.9119,2.7482,2.7773,0.00,Healthy
0.8821,2.8612,2.2366,2.54,Healthy
1.7880,4.4271,5.6513,14.28,Degraded
3.9710,7.5584,11.5198,35.29,Danger
0.8911,2.8872,3.0389,0.82,Healthy
1.8227,3.7959,4.3534,9.66,Degraded
1.1085,2.7952,2.8744,1.07,Healthy
1.0495,3.4940,3.0710,1.01,Healthy
1.8558,4.6459,5.7216,14.50,Degraded
1.7740,3.8585,5.4297,10.57,Degraded
1.1303,3.1669,3.2447,4.30,Healthy
1.9269,3.6419,5.6942,12.77,Degraded
0.8427,2.6623,3.3512,4.87,Healthy
0.9851,2.4608,3.1181,1.66,Healthy
0.9918,3.3791,2.8474,4.87,Healthy
0.9420,2.9171,3.5136,2.11,Healthy
2.5351,4.9253,4.4978,10.74,Degraded
1.0883,3.0786,3.4741,3.05,Healthy
1.0147,3.1083,3.2596,2.05,Healthy
0.8752,2.3098,3.9394,3.25,Healthy
1.0132,3.0344,2.9056,1.29,Healthy
1.3526,4.2302,4.8314,9.08,Degraded
3.3655,5.0000,7.7150,35.16,Danger
0.9798,3.3079,2.7710,2.64,Healthy
1.3601,5.0947,4.0925,13.09,Degraded
0.9605,2.7791,2.4352,4.06,Healthy
0.9726,3.2817,2.3970,2.24,Healthy
1.0584,2.6719,2.7341,3.91,Healthy
2.5022,4.3837,4.8475,9.43,Degraded
1.3332,4.0627,4.4976,17.87,Degraded
1.8348,5.2898,4.7435,15.50,Degraded
1.4532,5.7075,4.1835,11.46,Degraded
0.9057,3.2413,3.1962,0.00,Healthy
1.1154,3.1563,2.8586,1.10,Healthy
1.0366,2.8757,2.9865,2.12,Healthy
2.2747,5.3063,4.5880,14.26,Degraded
1.1886,2.8649,2.1581,0.98,Healthy
0.8822,3.2031,3.1462,0.32,Healthy
1.0617,2.7135,2.7509,4.07,Healthy
0.9127,2.9686,2.9817,2.92,Healthy
1.0661,2.7346,2.5410,1.76,Healthy
3.4451,6.4391,10.5169,32.00,Danger
4.7162,5.5053,13.4928,25.21,Danger
4.6865,5.5564,13.3904,27.64,Danger
1.0056,2.7407,2.9909,2.62,Healthy
3.0096,4.4391,5.3125,7.11,Degraded
2.2182,5.8496,5.7631,9.79,Degraded
0.9581,3.0422,2.9529,3.03,Healthy
0.8287,2.7266,2.9499,3.08,Healthy
0.9479,3.0379,3.8565,3.01,Healthy
5.0689,6.7990,11.4130,23.13,Danger
1.0608,3.7723,2.9820,0.57,Healthy
0.9447,3.5229,3.2844,2.80,Healthy
2.2083,3.8893,5.2855,10.64,Degraded
1.0549,3.2393,3.5765,1.11,Healthy
3.1205,4.7850,6.6978,11.81,Degraded
2.0104,4.7371,6.0016,20.53,Degraded
1.0111,3.0378,3.0120,0.00,Healthy
4.8988,6.8397,11.3694,27.35,Danger
2.4073,4.4485,4.7549,10.74,Degraded
1.2995,2.8477,3.1906,1.12,Healthy
0.8851,3.0416,2.8426,2.13,Healthy
0.8481,2.8212,2.8119,1.12,Healthy
0.8676,3.0272,2.9194,0.00,Healthy
0.9114,2.9762,3.4326,0.00,Healthy
2.7677,4.3885,5.8853,5.54,Degraded
1.1311,2.8338,3.2150,1.66,Healthy
1.9358,4.2581,4.1275,10.46,Degraded
0.9980,2.9562,3.2500,1.65,Healthy
1.0844,3.1074,3.0387,3.08,Healthy
2.2518,4.6747,7.9461,12.02,Degraded
1.0036,2.7375,2.6155,4.53,Healthy
0.9479,2.8127,2.8054,1.20,Healthy
1.0995,3.1902,2.8841,2.06,Healthy
0.8597,3.2464,3.4554,0.40,Healthy
2.1046,4.5315,5.9102,15.56,Degraded
1.0277,3.2074,3.0496,0.00,Healthy
0.9085,2.9769,3.6040,1.06,Healthy
1.0700,2.8671,2.4315,0.40,Healthy
2.5360,5.2162,3.8178,13.78,Degraded
1.1037,3.1286,3.7827,3.51,Healthy
1.2494,3.0523,3.0186,2.77,Healthy
4.1956,6.9394,15.4699,25.28,Danger
0.8821,2.8660,3.2250,0.14,Healthy
0.9966,3.2844,2.1938,0.41,Healthy
0.9543,2.8002,4.0638,1.32,Healthy
1.9434,4.7384,5.4828,7.51,Degraded
1.0001,2.8259,3.1847,1.91,Healthy
0.8854,3.1011,3.2451,1.01,Healthy
0.7714,3.0375,2.3569,2.69,Healthy
0.9990,2.5241,3.1493,1.64,Healthy
3.2385,7.5417,14.4177,38.01,Danger
1.3000,4.0607,3.8194,11.74,Degraded
2.4528,4.9353,4.9780,9.76,Degraded
2.3161,4.2168,5.3218,8.90,Degraded
0.7826,3.1623,2.2502,1.45,Healthy
1.3000,3.4865,5.8198,14.08,Degraded
1.0307,2.9728,3.8677,0.28,Healthy
1.0191,3.3082,2.7524,0.80,Healthy
1.1376,2.8247,2.4812,0.95,Healthy
0.9123,2.4733,3.6907,3.14,Healthy
1.0032,3.3337,3.5027,0.25,Healthy
0.9846,2.9813,3.2636,2.86,Healthy
0.9635,2.7218,2.9561,1.15,Healthy
3.6930,6.2661,10.9036,25.78,Danger
0.9388,3.1833,3.1761,2.25,Healthy
0.9298,3.1530,2.7398,2.45,Healthy
1.0956,2.7659,2.5667,3.42,Healthy
2.7920,3.7783,7.0660,12.06,Degraded
1.0461,2.8661,2.3786,1.53,Healthy
2.2080,4.0685,8.7098,15.21,Degraded
5.7753,5.7217,8.4275,25.83,Danger
2.0574,4.3993,5.7005,15.87,Degraded
4.2575,6.9109,17.7782,27.07,Danger
1.1012,3.0358,3.4572,2.70,Healthy
0.9294,3.2006,3.5594,2.85,Healthy
1.6699,5.0202,5.6335,10.25,Degraded
2.1185,3.9217,4.8842,8.97,Degraded
1.0280,2.8237,3.6973,1.81,Healthy
0.9884,3.2553,3.4548,2.74,Healthy
3.4503,7.1944,13.9372,27.55,Danger
2.2815,4.1547,6.1626,10.68,Degraded
0.8704,3.2160,2.8198,2.67,Healthy
1.0621,2.8562,3.0935,1.56,Healthy
1.0234,3.5146,3.2585,3.69,Healthy
3.8302,7.5246,7.0000,24.01,Danger
0.8861,2.7889,3.0842,1.00,Healthy
2.2778,4.3208,7.0078,17.31,Degraded
0.8544,3.2851,2.9987,1.31,Healthy
1.5568,4.9234,5.5142,8.03,Degraded
0.8290,2.7596,2.5268,1.44,Healthy
1.0153,3.5962,3.3676,0.18,Healthy
2.2325,4.6093,4.3844,15.47,Degraded
2.3464,3.1291,4.8378,10.07,Degraded
2.1870,5.6078,5.3115,4.00,Degraded
1.0015,2.5167,2.5721,5.04,Healthy
3.0000,6.8799,9.2979,26.54,Danger
5.7891,7.0947,13.0317,32.02,Danger
1.2024,2.6313,3.7939,3.35,Healthy
3.9547,7.1934,17.5427,26.71,Danger
0.9668,3.1044,2.9516,0.00,Healthy
4.4058,6.2818,7.0000,16.86,Danger
0.8563,2.9432,2.9367,2.04,Healthy
1.1065,2.9266,3.8799,3.09,Healthy
0.7254,3.2173,3.7759,3.43,Healthy
1.0475,3.2719,2.9769,0.81,Healthy
5.9219,8.0691,11.0315,42.96,Danger
0.9466,2.9089,3.2506,2.14,Healthy
0.8741,2.8380,3.0205,1.81,Healthy
1.3059,3.2760,3.5965,1.74,Healthy
